,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
1,1,1,1,3,0,0,3,4,1,1,3,4,2,5,13,14,1,1,3,2,0,0,4,4,0,0,2,7,2,1,1,4,1,2,4,1,1,2,3,4,3,4,4,1,2,13,15,14,2,2,2,4,3,4,5,5,3,1,3,4,5,5,5,18
2,1,1,2,3,0,1,2,3,0,0,1,1,4,8,11,10,1,1,2,2,0,0,2,4,0,0,0,7,1,6,4,14,2,2,4,2,1,2,3,4,0,4,1,4,5,13,10,24,2,2,2,4,3,4,4,5,0,0,1,1,2,12,1,16
3,1,1,2,1,0,1,4,3,0,2,1,2,4,10,14,18,1,1,2,3,0,0,0,4,0,1,0,5,2,9,6,8,2,2,4,4,1,3,4,2,1,3,2,2,1,14,14,15,2,2,2,4,2,2,4,5,0,3,1,3,0,5,6,13
4,1,1,1,3,1,1,3,4,1,0,1,3,3,15,20,19,1,1,3,1,0,0,3,4,0,0,2,7,1,7,11,4,1,2,4,3,2,2,1,5,1,2,1,5,3,11,21,16,1,2,2,3,3,4,4,6,1,0,1,2,4,12,17,14
5,1,1,2,3,0,1,1,4,1,1,0,4,11,5,17,16,1,1,2,2,0,0,1,2,1,1,1,6,7,4,8,12,2,2,4,2,2,3,3,5,1,3,4,8,7,11,13,9,2,2,2,4,3,4,5,5,1,2,0,4,1,7,14,21
6,1,1,1,1,0,1,2,4,0,2,2,3,6,7,4,15,1,1,3,2,0,0,2,4,0,0,3,6,5,6,5,9,0,2,4,4,1,3,4,5,2,3,6,6,2,13,6,20,2,2,2,2,3,4,5,5,1,2,2,3,3,14,9,21
7,1,2,2,3,0,1,3,4,2,2,4,2,7,8,15,19,1,1,1,2,0,0,0,3,0,0,0,9,5,4,7,5,2,2,2,4,2,1,2,5,2,3,4,3,3,8,14,17,2,2,2,4,3,4,3,5,2,2,4,2,4,9,12,17
8,1,1,2,1,0,0,3,2,1,1,3,3,7,10,22,14,1,1,2,3,0,0,0,4,0,0,5,6,5,9,10,6,2,2,4,4,1,3,4,4,1,1,5,7,4,14,20,19,2,2,2,2,2,4,5,4,1,1,3,3,5,18,18,11
9,1,1,1,4,0,1,2,4,1,1,1,5,3,10,16,19,1,1,1,3,0,0,3,4,0,1,1,7,1,7,7,7,2,2,3,4,2,2,4,4,1,4,3,7,3,7,13,16,2,2,2,2,3,4,4,5,1,1,1,5,5,8,11,13
10,1,1,1,1,0,2,1,4,0,1,1,2,6,8,26,16,1,1,1,3,0,0,2,4,0,0,0,7,5,8,14,9,2,2,3,4,1,1,3,5,1,1,4,2,0,10,16,12,2,2,2,2,2,4,4,5,0,1,1,2,1,5,16,22
11,1,1,2,4,0,0,3,5,0,2,3,2,1,4,13,19,1,1,1,2,0,0,0,4,0,0,0,6,1,4,3,9,2,2,4,5,1,1,4,5,1,3,5,7,3,6,10,17,2,2,2,4,3,4,5,3,1,2,3,2,4,9,12,17
12,1,2,1,3,0,1,2,5,0,2,2,4,4,13,19,24,1,1,3,1,0,0,2,4,0,0,1,7,4,5,12,10,1,2,4,4,2,3,4,5,3,5,2,7,1,10,13,19,2,2,2,2,2,4,4,4,3,2,2,4,0,11,15,9
13,1,2,1,3,0,0,3,3,1,0,1,6,2,15,23,15,1,1,3,2,0,0,0,3,0,0,0,6,2,8,11,8,2,2,2,4,1,3,4,5,2,0,3,4,7,11,12,22,2,2,2,2,3,3,4,6,1,0,1,6,8,7,12,21
14,1,1,2,3,1,0,2,5,1,1,1,4,6,10,14,19,1,1,2,1,0,0,3,5,0,0,0,7,5,8,6,8,0,2,3,4,2,3,3,5,1,2,4,6,10,12,11,17,2,2,3,2,3,3,4,5,1,2,1,4,9,3,7,14
15,1,1,2,4,0,0,4,4,1,1,1,7,7,12,19,19,1,1,2,2,0,0,3,3,0,0,1,6,6,7,10,10,0,2,3,4,2,3,5,5,2,4,1,6,5,12,12,21,2,2,3,4,3,4,5,4,1,1,1,7,6,10,12,25
16,1,1,1,3,1,0,2,4,1,2,1,5,4,14,13,26,1,1,1,1,0,0,2,4,0,0,5,5,4,12,2,11,2,2,3,3,2,2,3,5,1,2,5,5,6,12,15,17,2,2,2,3,3,4,3,6,1,2,1,5,1,12,14,12
