,DA_FB_Ht_40,DA_Ran_Ht_40,DA_Reg_Ht_40,DA_USPG_Ht_40,ecc_clo_FB_Ht_40,ecc_clo_Ran_Ht_40,ecc_clo_Reg_Ht_40,ecc_clo_USPG_Ht_40,lpsi_FB_Ht_40,lpsi_Ran_Ht_40,lpsi_Reg_Ht_40,lpsi_USPG_Ht_40,mdl_FB_Ht_40,mdl_Ran_Ht_40,mdl_Reg_Ht_40,mdl_USPG_Ht_40
1,1,3,3,13,3,4,2,1,4,3,4,15,2,5,3,5
2,2,2,1,11,2,2,0,4,4,3,1,10,2,4,1,1
3,2,4,1,14,2,0,0,6,4,4,2,14,2,4,1,6
4,1,3,1,20,3,3,2,11,4,1,1,21,2,4,1,17
5,2,1,0,17,2,1,1,8,4,3,4,13,2,5,0,14
6,1,2,2,4,3,2,3,5,4,4,6,6,2,5,2,9
7,2,3,4,15,1,0,0,7,2,2,4,14,2,3,4,12
8,2,3,3,22,2,0,5,10,4,4,5,20,2,5,3,18
9,1,2,1,16,1,3,1,7,3,4,3,13,2,4,1,11
10,1,1,1,26,1,2,0,14,3,3,4,16,2,4,1,16
11,2,3,3,13,1,0,0,3,4,4,5,10,2,5,3,12
12,1,2,2,19,3,2,1,12,4,4,2,13,2,4,2,15
13,1,3,1,23,3,0,0,11,2,4,3,12,2,4,1,12
14,2,2,1,14,2,3,0,6,3,3,4,11,3,4,1,7
15,2,4,1,19,2,3,1,10,3,5,1,12,3,5,1,12
16,1,2,1,13,1,2,5,2,3,3,5,15,2,3,1,14
17,3,3,5,20,2,1,0,9,4,3,5,18,2,4,5,9
18,2,2,2,19,2,0,0,6,2,4,2,11,2,5,2,15
19,2,2,2,14,2,0,1,4,4,1,5,14,2,4,2,9
20,2,1,1,19,2,3,0,10,4,3,2,12,2,5,1,8
21,2,3,0,17,2,2,0,7,2,5,4,18,2,5,0,6
22,1,1,1,15,1,0,0,9,3,4,2,19,2,3,1,7
23,1,2,2,12,1,0,1,6,3,4,3,16,2,4,2,9
24,2,2,2,11,2,0,1,1,1,4,5,5,2,4,2,6
25,2,1,0,17,2,1,0,13,4,4,1,16,2,4,0,15
26,1,1,1,15,3,0,1,12,4,4,2,26,2,5,2,8
